script starting at 28/10/2018 19:47:50 PDT
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff)

#ping number in file?

104.31.94.59   , aline.com                            , 14.136  , 28/10/2018 20:01:26 PDT
64.28.108.203  , vatican.com                          , 60.329  , 28/10/2018 20:01:37 PDT
157.240.22.35  , facebook.com                         , 17.583  , 28/10/2018 20:01:39 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 15.428  , 28/10/2018 20:01:41 PDT
10.0.1.1       , 10.0.1.1                             , 2.477   , 28/10/2018 20:01:53 PDT
216.58.194.206 , google.com                           , 15.505  , 28/10/2018 20:01:55 PDT
98.137.246.7   , yahoo.com                            , 35.944  , 28/10/2018 20:01:57 PDT
104.31.94.59   , aline.com                            , 16.437  , 28/10/2018 20:01:59 PDT
64.28.108.203  , vatican.com                          , 58.692  , 28/10/2018 20:02:10 PDT
157.240.22.35  , facebook.com                         , 14.082  , 28/10/2018 20:02:12 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 13.971  , 28/10/2018 20:02:14 PDT
10.0.1.1       , 10.0.1.1                             , 1.229   , 28/10/2018 20:02:26 PDT
216.58.194.206 , google.com                           , 12.887  , 28/10/2018 20:02:28 PDT
98.137.246.7   , yahoo.com                            , 32.755  , 28/10/2018 20:02:31 PDT
104.31.94.59   , aline.com                            , 13.510  , 28/10/2018 20:02:33 PDT
64.28.108.203  , vatican.com                          , 57.871  , 28/10/2018 20:02:44 PDT
157.240.22.35  , facebook.com                         , 12.590  , 28/10/2018 20:02:46 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 15.714  , 28/10/2018 20:02:49 PDT
10.0.1.1       , 10.0.1.1                             , 1.153   , 28/10/2018 20:03:01 PDT
216.58.194.206 , google.com                           , 13.678  , 28/10/2018 20:03:03 PDT
98.137.246.7   , yahoo.com                            , 31.692  , 28/10/2018 20:03:05 PDT
104.31.94.59   , aline.com                            , 13.361  , 28/10/2018 20:03:07 PDT
64.28.108.203  , vatican.com                          , 59.212  , 28/10/2018 20:03:18 PDT
157.240.22.35  , facebook.com                         , 17.323  , 28/10/2018 20:03:20 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 14.296  , 28/10/2018 20:03:22 PDT
10.0.1.1       , 10.0.1.1                             , 1.767   , 28/10/2018 20:03:35 PDT
172.217.0.46   , google.com                           , 14.580  , 28/10/2018 20:03:37 PDT
98.137.246.7   , yahoo.com                            , 33.459  , 28/10/2018 20:03:39 PDT
104.31.95.59   , aline.com                            , 12.572  , 28/10/2018 20:03:41 PDT
64.28.108.203  , vatican.com                          , 58.237  , 28/10/2018 20:03:52 PDT
157.240.22.35  , facebook.com                         , 19.963  , 28/10/2018 20:03:54 PDT
172.217.0.33   , navycaptain-therealnavy.blogspot.com , 14.883  , 28/10/2018 20:03:56 PDT
10.0.1.1       , 10.0.1.1                             , 1.836   , 28/10/2018 20:04:08 PDT
172.217.0.46   , google.com                           , 12.278  , 28/10/2018 20:04:10 PDT
98.137.246.7   , yahoo.com                            , 34.911  , 28/10/2018 20:04:12 PDT
104.31.95.59   , aline.com                            , 13.700  , 28/10/2018 20:04:14 PDT
64.28.108.203  , vatican.com                          , 59.360  , 28/10/2018 20:04:25 PDT
157.240.22.35  , facebook.com                         , 13.342  , 28/10/2018 20:04:28 PDT
172.217.0.33   , navycaptain-therealnavy.blogspot.com , 12.930  , 28/10/2018 20:04:30 PDT
10.0.1.1       , 10.0.1.1                             , 1.768   , 28/10/2018 20:04:42 PDT
172.217.0.46   , google.com                           , 15.069  , 28/10/2018 20:04:44 PDT
98.137.246.7   , yahoo.com                            , 34.218  , 28/10/2018 20:04:46 PDT
104.31.95.59   , aline.com                            , 22.373  , 28/10/2018 20:04:48 PDT
64.28.108.203  , vatican.com                          , 56.455  , 28/10/2018 20:04:59 PDT
157.240.22.35  , facebook.com                         , 16.808  , 28/10/2018 20:05:01 PDT
172.217.0.33   , navycaptain-therealnavy.blogspot.com , 13.315  , 28/10/2018 20:05:03 PDT
10.0.1.1       , 10.0.1.1                             , 1.973   , 28/10/2018 20:05:15 PDT
172.217.0.46   , google.com                           , 17.966  , 28/10/2018 20:05:17 PDT
98.137.246.7   , yahoo.com                            , 33.821  , 28/10/2018 20:05:19 PDT
104.31.95.59   , aline.com                            , 16.911  , 28/10/2018 20:05:22 PDT
64.28.108.203  , vatican.com                          , 58.293  , 28/10/2018 20:05:33 PDT
157.240.22.35  , facebook.com                         , 20.521  , 28/10/2018 20:05:35 PDT
172.217.0.33   , navycaptain-therealnavy.blogspot.com , 17.422  , 28/10/2018 20:05:37 PDT
10.0.1.1       , 10.0.1.1                             , 1.058   , 28/10/2018 20:05:49 PDT
172.217.0.46   , google.com                           , 13.465  , 28/10/2018 20:05:51 PDT
98.137.246.7   , yahoo.com                            , 33.141  , 28/10/2018 20:05:53 PDT
104.31.95.59   , aline.com                            , 12.238  , 28/10/2018 20:05:56 PDT
64.28.108.203  , vatican.com                          , 59.732  , 28/10/2018 20:06:07 PDT
157.240.22.35  , facebook.com                         , 13.329  , 28/10/2018 20:06:09 PDT
172.217.0.33   , navycaptain-therealnavy.blogspot.com , 13.353  , 28/10/2018 20:06:11 PDT
10.0.1.1       , 10.0.1.1                             , 6.506   , 28/10/2018 20:06:23 PDT
172.217.0.46   , google.com                           , 13.527  , 28/10/2018 20:06:26 PDT
98.137.246.7   , yahoo.com                            , 32.345  , 28/10/2018 20:06:28 PDT
104.31.95.59   , aline.com                            , 14.301  , 28/10/2018 20:06:30 PDT
64.28.108.203  , vatican.com                          , 57.824  , 28/10/2018 20:06:41 PDT
157.240.22.35  , facebook.com                         , 15.056  , 28/10/2018 20:06:43 PDT
172.217.0.33   , navycaptain-therealnavy.blogspot.com , 13.514  , 28/10/2018 20:06:45 PDT
10.0.1.1       , 10.0.1.1                             , 2.521   , 28/10/2018 20:06:57 PDT
172.217.0.46   , google.com                           , 12.965  , 28/10/2018 20:06:59 PDT
98.137.246.7   , yahoo.com                            , 34.660  , 28/10/2018 20:07:01 PDT
104.31.95.59   , aline.com                            , 14.096  , 28/10/2018 20:07:03 PDT
64.28.108.203  , vatican.com                          , 58.520  , 28/10/2018 20:07:14 PDT
157.240.22.35  , facebook.com                         , 13.280  , 28/10/2018 20:07:16 PDT
172.217.0.33   , navycaptain-therealnavy.blogspot.com , 16.432  , 28/10/2018 20:07:18 PDT
10.0.1.1       , 10.0.1.1                             , 1.053   , 28/10/2018 20:07:31 PDT
172.217.0.46   , google.com                           , 15.412  , 28/10/2018 20:07:33 PDT
98.137.246.7   , yahoo.com                            , 34.990  , 28/10/2018 20:07:35 PDT
104.31.95.59   , aline.com                            , 13.371  , 28/10/2018 20:07:38 PDT
64.28.108.203  , vatican.com                          , 57.532  , 28/10/2018 20:07:49 PDT
157.240.22.35  , facebook.com                         , 13.608  , 28/10/2018 20:07:51 PDT
172.217.0.33   , navycaptain-therealnavy.blogspot.com , 13.168  , 28/10/2018 20:07:53 PDT
10.0.1.1       , 10.0.1.1                             , 5.831   , 28/10/2018 20:08:06 PDT
172.217.0.46   , google.com                           , 15.123  , 28/10/2018 20:08:08 PDT
98.137.246.7   , yahoo.com                            , 34.838  , 28/10/2018 20:08:11 PDT
104.31.95.59   , aline.com                            , 12.872  , 28/10/2018 20:08:13 PDT
64.28.108.203  , vatican.com                          , 56.804  , 28/10/2018 20:08:24 PDT
