script starting at 28/10/2018 14:07:52 PDT
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff)
157.240.22.35 , facebook.com , 13.783 , 28/10/2018 14:23:57 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 13.550 , 28/10/2018 14:23:59 PDT  
10.0.1.1 , 10.0.1.1 , 1.687 , 28/10/2018 14:24:11 PDT  
216.58.194.206 , google.com , 12.643 , 28/10/2018 14:24:13 PDT  
98.137.246.8 , yahoo.com , 32.325 , 28/10/2018 14:24:15 PDT  
104.31.95.59 , aline.com , 12.494 , 28/10/2018 14:24:17 PDT  
64.28.108.203 , vatican.com , 57.168 , 28/10/2018 14:24:28 PDT  
157.240.22.35 , facebook.com , 13.729 , 28/10/2018 14:24:30 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 14.767 , 28/10/2018 14:24:32 PDT  
10.0.1.1 , 10.0.1.1 , 1.565 , 28/10/2018 14:24:44 PDT  
216.58.194.206 , google.com , 12.260 , 28/10/2018 14:24:46 PDT  
98.137.246.8 , yahoo.com , 31.892 , 28/10/2018 14:24:48 PDT  
104.31.95.59 , aline.com , 12.483 , 28/10/2018 14:24:50 PDT  
64.28.108.203 , vatican.com , 57.955 , 28/10/2018 14:25:02 PDT  
157.240.22.35 , facebook.com , 13.661 , 28/10/2018 14:25:04 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 16.337 , 28/10/2018 14:25:06 PDT  
10.0.1.1 , 10.0.1.1 , 1.201 , 28/10/2018 14:25:18 PDT  
216.58.194.206 , google.com , 12.672 , 28/10/2018 14:25:20 PDT  
98.137.246.8 , yahoo.com , 33.140 , 28/10/2018 14:25:22 PDT  
104.31.95.59 , aline.com , 12.888 , 28/10/2018 14:25:24 PDT  
64.28.108.203 , vatican.com , 57.043 , 28/10/2018 14:25:35 PDT  
157.240.22.35 , facebook.com , 13.135 , 28/10/2018 14:25:37 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 15.868 , 28/10/2018 14:25:39 PDT  
10.0.1.1 , 10.0.1.1 , 2.446 , 28/10/2018 14:25:51 PDT  
216.58.194.206 , google.com , 12.442 , 28/10/2018 14:25:53 PDT  
98.137.246.8 , yahoo.com , 31.977 , 28/10/2018 14:25:55 PDT  
104.31.95.59 , aline.com , 12.711 , 28/10/2018 14:25:58 PDT  
64.28.108.203 , vatican.com , 58.531 , 28/10/2018 14:26:09 PDT  
157.240.22.35 , facebook.com , 12.691 , 28/10/2018 14:26:11 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.305 , 28/10/2018 14:26:13 PDT  
10.0.1.1 , 10.0.1.1 , 1.304 , 28/10/2018 14:26:25 PDT  
216.58.194.206 , google.com , 13.537 , 28/10/2018 14:26:27 PDT  
98.137.246.8 , yahoo.com , 32.649 , 28/10/2018 14:26:29 PDT  
104.31.95.59 , aline.com , 12.738 , 28/10/2018 14:26:32 PDT  
64.28.108.203 , vatican.com , 56.696 , 28/10/2018 14:26:43 PDT  
157.240.22.35 , facebook.com , 13.742 , 28/10/2018 14:26:45 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.417 , 28/10/2018 14:26:47 PDT  
10.0.1.1 , 10.0.1.1 , 1.257 , 28/10/2018 14:26:59 PDT  
216.58.194.206 , google.com , 12.435 , 28/10/2018 14:27:02 PDT  
98.137.246.8 , yahoo.com , 32.318 , 28/10/2018 14:27:04 PDT  
104.31.95.59 , aline.com , 12.401 , 28/10/2018 14:27:06 PDT  
64.28.108.203 , vatican.com , 57.271 , 28/10/2018 14:27:17 PDT  
157.240.22.35 , facebook.com , 12.919 , 28/10/2018 14:27:19 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 13.174 , 28/10/2018 14:27:21 PDT  
10.0.1.1 , 10.0.1.1 , 1.642 , 28/10/2018 14:27:33 PDT  
216.58.194.206 , google.com , 12.488 , 28/10/2018 14:27:35 PDT  
98.138.219.232 , yahoo.com , 46.351 , 28/10/2018 14:27:37 PDT  
104.31.95.59 , aline.com , 13.572 , 28/10/2018 14:27:39 PDT  
64.28.108.203 , vatican.com , 57.268 , 28/10/2018 14:27:50 PDT  
157.240.22.35 , facebook.com , 14.329 , 28/10/2018 14:27:52 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 22.765 , 28/10/2018 14:27:55 PDT  
10.0.1.1 , 10.0.1.1 , 1.411 , 28/10/2018 14:28:07 PDT  
216.58.194.206 , google.com , 13.713 , 28/10/2018 14:28:09 PDT  
98.138.219.232 , yahoo.com , 46.630 , 28/10/2018 14:28:11 PDT  
104.31.95.59 , aline.com , 13.257 , 28/10/2018 14:28:13 PDT  
64.28.108.203 , vatican.com , 58.287 , 28/10/2018 14:28:24 PDT  
157.240.22.35 , facebook.com , 13.891 , 28/10/2018 14:28:26 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.549 , 28/10/2018 14:28:28 PDT  
10.0.1.1 , 10.0.1.1 , 1.293 , 28/10/2018 14:28:40 PDT  
216.58.194.206 , google.com , 13.421 , 28/10/2018 14:28:42 PDT  
98.138.219.232 , yahoo.com , 46.307 , 28/10/2018 14:28:44 PDT  
104.31.95.59 , aline.com , 12.284 , 28/10/2018 14:28:46 PDT  
64.28.108.203 , vatican.com , 57.226 , 28/10/2018 14:28:57 PDT  
157.240.22.35 , facebook.com , 13.369 , 28/10/2018 14:29:00 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 15.914 , 28/10/2018 14:29:02 PDT  
10.0.1.1 , 10.0.1.1 , 1.029 , 28/10/2018 14:29:14 PDT  
216.58.194.206 , google.com , 12.707 , 28/10/2018 14:29:16 PDT  
98.138.219.232 , yahoo.com , 48.299 , 28/10/2018 14:29:18 PDT  
104.31.95.59 , aline.com , 13.196 , 28/10/2018 14:29:20 PDT  
64.28.108.203 , vatican.com , 56.869 , 28/10/2018 14:29:31 PDT  
157.240.22.35 , facebook.com , 13.382 , 28/10/2018 14:29:33 PDT  
172.217.0.33 , navycaptain-therealnavy.blogspot.com , 12.541 , 28/10/2018 14:29:35 PDT  
10.0.1.1 , 10.0.1.1 , 2.218 , 28/10/2018 14:29:47 PDT  
216.58.194.206 , google.com , 12.630 , 28/10/2018 14:29:49 PDT  
98.138.219.232 , yahoo.com , 46.949 , 28/10/2018 14:29:51 PDT  
104.31.95.59 , aline.com , 12.671 , 28/10/2018 14:29:53 PDT  
64.28.108.203 , vatican.com , 57.487 , 28/10/2018 14:30:05 PDT  
157.240.22.35 , facebook.com , 15.271 , 28/10/2018 14:30:07 PDT  
172.217.0.33 , navycaptain-therealnavy.blogspot.com , 13.062 , 28/10/2018 14:30:09 PDT  
10.0.1.1 , 10.0.1.1 , 1.851 , 28/10/2018 14:30:21 PDT  
216.58.194.206 , google.com , 12.704 , 28/10/2018 14:30:23 PDT  
98.138.219.232 , yahoo.com , 47.117 , 28/10/2018 14:30:25 PDT  
104.31.95.59 , aline.com , 17.811 , 28/10/2018 14:30:27 PDT  
64.28.108.203 , vatican.com , 57.200 , 28/10/2018 14:30:38 PDT  
157.240.22.35 , facebook.com , 13.143 , 28/10/2018 14:30:40 PDT  
172.217.0.33 , navycaptain-therealnavy.blogspot.com , 12.900 , 28/10/2018 14:30:42 PDT  
10.0.1.1 , 10.0.1.1 , 1.474 , 28/10/2018 14:30:54 PDT  
216.58.194.206 , google.com , 15.060 , 28/10/2018 14:30:56 PDT  
98.138.219.232 , yahoo.com , 45.860 , 28/10/2018 14:30:59 PDT  
104.31.95.59 , aline.com , 12.873 , 28/10/2018 14:31:01 PDT  
64.28.108.203 , vatican.com , 69.362 , 28/10/2018 14:31:12 PDT  
157.240.22.35 , facebook.com , 12.511 , 28/10/2018 14:31:14 PDT  
172.217.0.33 , navycaptain-therealnavy.blogspot.com , 13.426 , 28/10/2018 14:31:16 PDT  
10.0.1.1 , 10.0.1.1 , 1.098 , 28/10/2018 14:31:28 PDT  
216.58.194.206 , google.com , 12.430 , 28/10/2018 14:31:30 PDT  
98.138.219.232 , yahoo.com , 46.316 , 28/10/2018 14:31:32 PDT  
104.31.95.59 , aline.com , 13.516 , 28/10/2018 14:31:34 PDT  
64.28.108.203 , vatican.com , 57.051 , 28/10/2018 14:31:45 PDT  
157.240.22.35 , facebook.com , 14.110 , 28/10/2018 14:31:47 PDT  
172.217.0.33 , navycaptain-therealnavy.blogspot.com , 13.269 , 28/10/2018 14:31:49 PDT  
10.0.1.1 , 10.0.1.1 , 1.952 , 28/10/2018 14:32:02 PDT  
216.58.194.206 , google.com , 12.930 , 28/10/2018 14:32:04 PDT  
98.138.219.232 , yahoo.com , 46.340 , 28/10/2018 14:32:06 PDT  
104.31.95.59 , aline.com , 15.925 , 28/10/2018 14:32:08 PDT  
64.28.108.203 , vatican.com , 56.437 , 28/10/2018 14:32:19 PDT  
157.240.22.35 , facebook.com , 16.901 , 28/10/2018 14:32:21 PDT  
172.217.0.33 , navycaptain-therealnavy.blogspot.com , 12.464 , 28/10/2018 14:32:23 PDT  
10.0.1.1 , 10.0.1.1 , 1.549 , 28/10/2018 14:32:35 PDT  
216.58.195.78 , google.com , 12.773 , 28/10/2018 14:32:37 PDT  
98.138.219.232 , yahoo.com , 47.469 , 28/10/2018 14:32:39 PDT  
104.31.95.59 , aline.com , 13.665 , 28/10/2018 14:32:41 PDT  
64.28.108.203 , vatican.com , 56.637 , 28/10/2018 14:32:52 PDT  
157.240.22.35 , facebook.com , 12.828 , 28/10/2018 14:32:54 PDT  
172.217.0.33 , navycaptain-therealnavy.blogspot.com , 13.332 , 28/10/2018 14:32:57 PDT  
10.0.1.1 , 10.0.1.1 , 1.120 , 28/10/2018 14:33:09 PDT  
216.58.195.78 , google.com , 12.117 , 28/10/2018 14:33:11 PDT  
98.138.219.232 , yahoo.com , 46.113 , 28/10/2018 14:33:13 PDT  
104.31.95.59 , aline.com , 12.482 , 28/10/2018 14:33:15 PDT  
64.28.108.203 , vatican.com , 56.849 , 28/10/2018 14:33:26 PDT  
157.240.22.35 , facebook.com , 12.565 , 28/10/2018 14:33:28 PDT  
172.217.0.33 , navycaptain-therealnavy.blogspot.com , 12.427 , 28/10/2018 14:33:30 PDT  
10.0.1.1 , 10.0.1.1 , 1.635 , 28/10/2018 14:33:42 PDT  
216.58.195.78 , google.com , 13.345 , 28/10/2018 14:33:44 PDT  
98.138.219.232 , yahoo.com , 45.953 , 28/10/2018 14:33:46 PDT  
104.31.95.59 , aline.com , 12.581 , 28/10/2018 14:33:48 PDT  
